District Number,District Name,School Number,School Name,pct_passing,pct_free_or_reduced,pct_black
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,36.0,0.9591194968553459,0.9032258064516128
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,74.0,0.5466893039049237,0.28737541528239197
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHOOL,71.0,0.6069868995633189,0.38315789473684214
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUDENT CENTER,,0.8028169014084505,0.6666666666666665
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,19.0,0.9576547231270357,0.8492307692307692
01,ALACHUA,0082,HOSPITAL HOMEBOUND,,0.30612244897959184,0.32558139534883723
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,56.0,0.5939490445859873,0.30733229329173173
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,38.0,0.9454094292803973,0.8890942698706101
01,ALACHUA,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,54.0,0.7424511545293073,0.721830985915493
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,50.0,0.6393442622950821,0.2909604519774011
01,ALACHUA,0171,ARCHER ELEMENTARY,67.0,0.5960264900662252,0.2585170340681363
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHOOL,35.0,0.8564102564102564,0.3317307692307692
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,43.0,0.8544600938967136,0.27979274611398963
01,ALACHUA,0311,MYRA TERWILLIGER ELEMENTARY SCHOOL,54.0,0.8603268945022289,0.5228951255539144
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,48.0,0.8148148148148148,0.530239099859353
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,65.0,0.4449152542372881,0.2257383966244725
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEMENTARY,18.0,0.9870466321243522,0.9020771513353115
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,67.0,0.39770114942528734,0.10740740740740741
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,77.0,0.3013157894736842,0.17051282051282052
01,ALACHUA,0501,KIMBALL WILES ELEMENTARY SCHOOL,76.0,0.3865853658536585,0.2033293697978597
01,ALACHUA,0510,LAWTON M. CHILES ELEMENTARY SCHOOL,78.0,0.34492753623188416,0.2757660167130919
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,77.0,0.38276836158192096,0.18801089918256128
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,73.0,0.5483870967741935,0.1804123711340206
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,56.0,0.5728862973760933,0.29166666666666674
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,76.0,0.3212209302325581,0.18832116788321168
01,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJECT,78.0,0.7067307692307694,0.5084745762711864
01,ALACHUA,0951,MICANOPY AREA COOPERATIVE SCHOOL IN,82.0,0.5310344827586206,0.08333333333333331
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,27.0,0.9352517985611509,0.9777777777777777
01,ALACHUA,0955,EINSTEIN MONTESSORI SCHOOL,31.0,0.5185185185185186,0.2743362831858407
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACADEMY,92.0,0.11956521739130435,0.021505376344086023
01,ALACHUA,0957,ALACHUA LEARNING CENTER ELEMENTARY,76.0,0.5982142857142857,0.10810810810810813
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SC,82.0,0.24444444444444446,0.05102040816326531
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG,,,0.09523809523809523
02,BAKER,0031,J FRANKLYN KELLER INTERMEDIATE SCHO,56.0,0.6368421052631579,0.12176165803108807
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,64.0,0.7083946980854198,0.029126213592233014
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,49.0,0.8884462151394422,0.35517970401691334
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,50.0,0.8241758241758241,0.22137404580152673
03,BAY,0111,MERRIAM CHERRY STREET ELEMENTARY,53.0,0.7957244655581949,0.3399503722084367
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHOOL,38.0,0.9981515711645101,0.3213644524236984
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,60.0,0.69079754601227,0.26785714285714285
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,62.0,0.5065104166666665,0.10967741935483874
03,BAY,0191,OAKLAND TERRACE SCH FOR THE VISUAL,43.0,1.0,0.2813370473537605
03,BAY,0211,PARKER ELEMENTARY SCHOOL,54.0,0.8298217179902756,0.25079365079365074
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,40.0,0.6937799043062199,0.004938271604938271
03,BAY,0231,SPRINGFIELD ELEMENTARY SCHOOL,44.0,1.0,0.4847826086956522
03,BAY,0241,ST. ANDREW SCHOOL,15.0,0.8905109489051095,0.2661290322580645
03,BAY,0251,WALLER ELEMENTARY SCHOOL,52.0,0.8790322580645163,0.004201680672268908
03,BAY,0291,OSCAR PATTERSON ELEMENTARY MAGNET,32.0,1.0,0.5667574931880109
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,72.0,0.48606271777003485,0.06855439642324887
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,61.0,0.725574712643678,0.15561959654178678
03,BAY,0501,TYNDALL ELEMENTARY SCHOOL,70.0,0.4154411764705883,0.13924050632911394
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,66.0,0.6805555555555556,0.04444444444444445
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,77.0,0.4198966408268735,0.023474178403755864
03,BAY,0541,DEANE BOZEMAN SCHOOL,61.0,0.6159728122344945,0.008665511265164644
03,BAY,0571,BREAKFAST POINT ACADEMY,55.0,0.5076923076923078,0.04676753782668501
03,BAY,0701,BAY HAVEN CHARTER ACADEMY,82.0,0.26521739130434785,0.07101449275362319
03,BAY,0751,NORTH BAY HAVEN CHARTER ACADEMY ELE,73.0,0.2995689655172414,0.08968609865470852
03,BAY,2701,RISING LEADERS ACADEMY,,0.29032258064516125,0.08823529411764708
03,BAY,2711,UNIVERSITY ACADEMY (SABL INC.),86.0,0.3390804597701149,0.0825082508250825
03,BAY,7001,BAY VIRTUAL INSTRUCTION PROGRAM,,0.16129032258064516,0.0
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,43.0,0.6244813278008298,0.27310924369747897
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,56.0,0.7306397306397306,0.313588850174216
04,BRADFORD,0131,LAWTEY ELEMENTARY SCHOOL,55.0,0.6855895196506551,0.1940928270042194
04,BRADFORD,0161,BROOKER ELEMENTARY SCHOOL,41.0,0.6171875,0.033783783783783786
